text,cedis_code,cedis_complaint,domain,source,rule_applied
Trauma from fall,802,Major trauma—blunt,Trauma,silver,
L thigh hemotoma,716,Spontaneous bruising,Skin,silver,
Abdominal/head trauma,802,Major trauma—blunt,Trauma,silver,
open fx L,802,Major trauma—blunt,Trauma,silver,
hand infection,711,Other skin conditions,Skin,silver,
"Snowmobile trauma, mandibular fracture",802,Major trauma—blunt,Trauma,silver,
thiracic spinal fxs,552,Traumatic back/spine injury,Orthopedic,silver,
unstable spinal fructure,552,Traumatic back/spine injury,Orthopedic,silver,
Neck / Head pain,404,Headache,Neurologic,silver,
PPROM - <DATE_TIME>,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
bleeding,455,Vaginal bleed,OB/GYN,silver,
"<DATE_TIME>, PROM",457,"Pregnancy issues, <20 weeks",OB/GYN,silver,
SOB/ Leg Swell,651,Shortness of breath,Respiratory,rule,RESPIRATORY_DISTRESS
Syncope/Arythmia,8,Syncope/pre-syncope,Cardiovascular,silver,
collapse,8,Syncope/pre-syncope,Cardiovascular,silver,
Confusion,402,Confusion,Neurologic,silver,
MVA with possible PTX,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
snowmobile MVA,802,Major trauma—blunt,Trauma,rule,MAJOR_TRAUMA_BLUNT
SI/hanging,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
suicidality,351,Depression/suicidal/deliberate self-harm,Mental Health,rule,SUICIDAL
altered mental status/hyponatremia,402,Confusion,Neurologic,silver,
Hyperglycemia,853,Hyperglycemia,General and Minor,silver,
L hip fx,557,Lower extremity injury,Orthopedic,silver,
hip fx,557,Lower extremity injury,Orthopedic,silver,
"miscarriage, vaginal bleeding",455,Vaginal bleed,OB/GYN,silver,
Syncoper / Lower GI Bleed,260,Blood in stool/melena,Gastrointestinal,rule,GI_BLEED
chest paint,4,Chest pain—non-cardiac features,Cardiovascular,silver,
Non reassuring fetal surveillance at term,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
Fall L Hip Pain,555,Lower extremity pain,Orthopedic,silver,
"MVC, ankle injury",557,Lower extremity injury,Orthopedic,silver,
Chemical burn,502,"Chemical exposure, eye",Ophthalmology,silver,
"cocaine +, EKG changes",751,Substance misuse/intoxication,Substance Misuse,silver,
ETOH Withdrawal/ DTS,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
Alcohol WD,753,Substance withdrawal,Substance Misuse,silver,
assault,802,Major trauma—blunt,Trauma,silver,
L2 Burst Fracture,552,Traumatic back/spine injury,Orthopedic,silver,
"Seizures, tertiary syphilis?",405,Seizure,Neurologic,silver,
seizure w hypotension,405,Seizure,Neurologic,silver,
"Snowmachine accident, large wound",802,Major trauma—blunt,Trauma,silver,
epidural hematoma,407,Head injury,Neurologic,silver,
R femur fracture,557,Lower extremity injury,Orthopedic,silver,
Trauma / ETOH,751,Substance misuse/intoxication,Substance Misuse,silver,
facial,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
Post Partum SI,351,Depression/suicidal/deliberate self-harm,Mental Health,silver,
<DATE_TIME> gestation ctx,458,"Pregnancy issues, >20 weeks",OB/GYN,silver,
O/D excedrin,752,Overdose ingestion,Substance Misuse,silver,
mandibular fracture,102,Facial trauma,ENT - Mouth/Throat/Neck,silver,
R/o Cholangitis,251,Abdominal pain,Gastrointestinal,silver,
overdose acetaminophen,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
suspected active TB,851,Exposure to communicable disease,General and Minor,silver,
infected human bite of left hand,701,Bite,Skin,silver,
Left Hip Fx,557,Lower extremity injury,Orthopedic,silver,
Hyperemisis /Pain,257,Nausea and/or vomiting,Gastrointestinal,silver,
SI withdrawal,753,Substance withdrawal,Substance Misuse,rule,SUBSTANCE_WITHDRAWAL
Possible sepsis/medical instability,999,Unknown,General and Minor,silver,
Discolated Shoulder,556,Upper extremity injury,Orthopedic,silver,
Early labor with history previous cesarean,458,"Pregnancy issues, >20 weeks",OB/GYN,rule,PREGNANCY_LATE
overdose/unresponsive,752,Overdose ingestion,Substance Misuse,rule,OVERDOSE
DV Assault,802,Major trauma—blunt,Trauma,silver,
Pancreatitis,251,Abdominal pain,Gastrointestinal,silver,
